Player,Squad,90s,SoTA,PSxG+/-,/90,GSAA%
Ben Foster,Watford,26,111,-4.6,-0.18,-4.14
Emiliano Martínez,Aston Villa,36,136,-5.1,-0.14,-3.75
Aaron Ramsdale,Arsenal,34,122,-4.3,-0.13,-3.52
Illan Meslier,Leeds United,37.6,215,-7.3,-0.19,-3.40
Vicente Guaita,Crystal Palace,29.5,113,-3.5,-0.12,-3.10
Tim Krul,Norwich City,29,158,-2.7,-0.09,-1.71
Ederson,Manchester City,37,83,-1.2,-0.03,-1.45
Fraser Forster,Southampton,19,98,-1.2,-0.06,-1.22
Edouard Mendy,Chelsea,34,95,-0.4,-0.01,-0.42
Kasper Schmeichel,Leicester City,37,176,-0.7,-0.02,-0.40
Hugo Lloris,Tottenham,38,133,-0.2,-0.01,-0.15
Jordan Pickford,Everton,35,167,-0.2,-0.01,-0.12
David Raya,Brentford,24,99,0.5,0.02,0.51
Robert Sánchez,Brighton,37,140,1.2,0.03,0.86
Nick Pope,Burnley,36,159,4.4,0.12,2.77
Łukasz Fabiański,West Ham,37,156,4.8,0.13,3.08
David de Gea,Manchester Utd,38,177,6.7,0.18,3.79
Martin Dúbravka,Newcastle Utd,26,106,4.1,0.16,3.87
Alisson,Liverpool,36,97,4.4,0.12,4.54
José Sá,Wolves,36.5,150,9.2,0.25,6.13
