Player,Squad,Cmp%,pp90
William Saliba,Marseille,93.7,79.58
João Cancelo,Manchester City,83.9,76.66
Aymeric Laporte,Manchester City,94.7,86.08
Rodri,Manchester City,92.5,80.84
Sergio Busquets,Barcelona,88,69.35
Marcelo Brozović,Inter,91.6,72.85
Maxime Lopez,Sassuolo,91.7,72.30
Thiago Silva,Chelsea,92.9,79.76
Jordi Alba,Barcelona,84.3,79.46
Virgil van Dijk,Liverpool,90.8,67.26
Marquinhos,Paris S-G,93.5,70.16
Pierre Højbjerg,Tottenham,89.4,62.56
Boubacar Kamara,Marseille,90.8,71.33
Joshua Kimmich,Bayern Munich,85.1,79.96
Presnel Kimpembe,Paris S-G,96.8,75.87
Antonio Rüdiger,Chelsea,88.4,64.15
Johan Gastien,Clermont Foot,82.6,70.49
Dante,Nice,90.7,67.27
Jean-Clair Todibo,Nice,87.8,60.78
Jordan Ferri,Montpellier,83.9,65.02
Rúben Dias,Manchester City,94.3,78.54
Cristiano Biraghi,Fiorentina,80.6,59.54
Toni Kroos,Real Madrid,91.9,88.72
Mário Rui,Napoli,84.4,62.38
Dayot Upamecano,Bayern Munich,90.5,83.25
Facundo Medina,Lens,90.1,70.69
Giovanni Di Lorenzo,Napoli,88,63.70
Gian Marco Ferrari,Sassuolo,90.5,58.07
Joël Matip,Liverpool,90,65.00
Trent Alexander-Arnold,Liverpool,74.4,63.50
Marc Guéhi,Crystal Palace,87.5,55.61
Milan Škriniar,Inter,93.3,56.77
Fabián Ruiz Peña,Napoli,89.6,74.38
Eric Dier,Tottenham,88.5,57.71
Marco Verratti,Paris S-G,91.8,91.40
Nayef Aguerd,Rennes,90,64.34
Declan Rice,West Ham,90.7,55.24
Sergej Milinković-Savić,Lazio,81.9,56.31
Kevin Vogt,Hoffenheim,88.5,66.95
Jules Koundé,Sevilla,89.6,62.60
Mattéo Guendouzi,Marseille,87.4,54.31
Marc Cucurella,Brighton,81.6,55.25
Diego Carlos,Sevilla,88.4,57.51
Robin Le Normand,Real Sociedad,89.5,51.03
Nikola Milenković,Fiorentina,89.8,57.94
Jonathan Gradit,Lens,89.8,54.69
Andrew Robertson,Liverpool,81,65.92
Warmed Omari,Rennes,93.2,59.58
Jordan Henderson,Liverpool,83.8,63.88
Hamari Traoré,Rennes,84.1,57.01
Amir Rrahmani,Napoli,91.3,56.18
Benjamin Pavard,Bayern Munich,87.3,79.00
José Fonte,Lille,86.8,47.76
Francesco Acerbi,Lazio,90.3,64.26
Joachim Andersen,Crystal Palace,82.6,55.93
Daniel Parejo,Villarreal,84.1,60.27
David Alaba,Real Madrid,91.7,61.36
Willi Orban,RB Leipzig,90.1,61.26
Manuel Akanji,Dortmund,90.7,71.75
Aurélien Tchouaméni,Monaco,86.5,55.29
Gabriel Dos Santos,Arsenal,89.7,52.82
Éder Militão,Real Madrid,89.2,52.79
Valentin Rongier,Marseille,90.4,72.66
Lucas Hernández,Bayern Munich,90.2,78.45
Joško Gvardiol,RB Leipzig,83.7,65.60
Luan Peres Petroni,Marseille,88.9,58.22
Fran Beltrán,Celta Vigo,90.8,59.79
Javi Galán,Celta Vigo,78.4,46.94
Pau Torres,Villarreal,86.1,54.10
Casemiro,Real Madrid,86.4,60.14
Cheick Doucouré,Lens,87.6,51.96
Bernardo Silva,Manchester City,88.4,53.53
Akim Zedadka,Clermont Foot,80.3,45.66
Jonathan Tah,Leverkusen,89.9,52.91
Florian Tardieu,Troyes,82.6,57.71
Roger Ibanez,Roma,87.4,52.31
Lewis Dunk,Brighton,89.1,58.60
Luiz Felipe,Lazio,92,60.40
João Moutinho,Wolves,84.3,50.64
James Ward-Prowse,Southampton,78.4,46.81
Duje Ćaleta-Car,Marseille,92.3,72.79
Jorginho,Chelsea,89.7,65.77
Luis Alberto,Lazio,83.1,62.95
Aaron Cresswell,West Ham,80.2,54.16
Achraf Hakimi,Paris S-G,89.3,59.56
Adam Marušić,Lazio,87.1,54.21
Denis Suárez,Celta Vigo,79.9,52.08
Kevin Danso,Lens,88.1,52.26
Joan Jordán,Sevilla,87.8,57.96
Alessandro Bastoni,Inter,89,62.30
Seko Fofana,Lens,87.7,42.79
Rúben Neves,Wolves,82.8,53.82
Juan Cuadrado,Juventus,85.1,57.57
Nico Elvedi,M'Gladbach,93.2,58.78
Obite N'Dicka,Eint Frankfurt,85.2,49.72
Niklas Süle,Bayern Munich,90.6,77.06
Çağlar Söyüncü,Leicester City,86.2,56.68
Marcos Acuña,Sevilla,79.4,62.31
Ismaël Traoré,Angers,90.3,43.61
Sergio Canales,Betis,83.1,50.03
