Player,Squad,Cmp,Cmp%,pp90,Team_id,Pos
Virgil van Dijk,Liverpool,2287,90.8,67.26,8650,DF
Jordi Alba,Barcelona,2336,84.3,79.46,8634,DF
Thiago Silva,Chelsea,2345,92.9,79.76,8455,MF
Maxime Lopez,Sassuolo,2357,91.7,72.3,7943,MF
Marcelo Brozović,Inter,2375,91.6,72.85,8636,MF
Sergio Busquets,Barcelona,2462,88,69.35,8634,MF
Rodri,Manchester City,2587,92.5,80.84,8456,MF
Aymeric Laporte,Manchester City,2703,94.7,86.08,8456,DF
João Cancelo,Manchester City,2752,83.9,76.66,8456,DF
William Saliba,Marseille,2865,93.7,79.58,8592,DF
